Sequence,Company,City,Province,Year,record
73,\u5B81\u664B\u53BF\u82CF\u5BB6\u5E84\u9547\u897F\u9A6C\u5E84\u8FDC\u5927\u7EB8\u7BB1\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
74,\u5B81\u664B\u53BF\u5B81\u6743\u5907\u745C\u7EB8\u7BB1\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
75,\u5B81\u664B\u53BF\u4FE1\u8FBE\u7EB8\u7BB1\u5305\u88C5\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
76,\u90A2\u53F0\u957F\u6C5F\u7535\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
77,\u5B81\u664B\u53BF\u4E2D\u51EF\u7279\u79CD\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
78,\u5B81\u664B\u53BF\u548C\u80DC\u9686\u98DF\u54C1\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
79,\u5B81\u664B\u53BF\u4F73\u9686\u98DF\u54C1\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
80,\u6CB3\u5317\u6D69\u4E2D\u7279\u79CD\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
81,\u6CB3\u5317\u5BCC\u60E0\u51C0\u6C34\u5242\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
82,\u6CB3\u5317\u6210\u6CF0\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
83,\u534E\u5A01\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
84,\u6CB3\u5317\u91D1\u8BDA\u7535\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
85,\u4E0A\u6D77\u4FDD\u5B9E\u7279\u79CD\u7535\u7F06\u6709\u9650\u516C\u53F8\u5B81\u664B\u5206\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
86,\u90A2\u53F0\u5E02\u6D25\u7F06\u7EBF\u7F06\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
87,\u6CB3\u5317\u6B63\u5927\u7EBF\u7F06,\u90A2\u53F0,\u6CB3\u5317,2015,1
88,\u6C38\u5F3A\u7EBF\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
89,\u8BA1\u901A\u7535\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
90,\u90A2\u53F0\u5E02\u6B63\u6CF0\u7535\u7F06\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
91,\u91D1\u4E09\u661F\u7535\u7F06\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
92,\u6CB3\u5317\u548C\u80DC\u9686\u98DF\u54C1\u6709\u9650\u516C\u53F8,\u90A2\u53F0,\u6CB3\u5317,2015,1
93,\u90A2\u53F0\u5E02\u6C88\u7279\u7535\u7F06\u5382,\u90A2\u53F0,\u6CB3\u5317,2015,1
