Date,Open,High,Low,Close,Adj Close,Volume
2014-12-23,113.230003,113.33000200000001,112.459999,112.540001,107.335922,26028400
2014-12-24,112.58000200000001,112.709999,112.010002,112.010002,106.83042900000001,14479600
2014-12-26,112.099998,114.519997,112.010002,113.989998,108.718864,33721000
2014-12-29,113.790001,114.769997,113.699997,113.910004,108.642563,27598900
2014-12-30,113.639999,113.91999799999999,112.110001,112.519997,107.316826,29881500
2014-12-31,112.82,113.129997,110.209999,110.379997,105.27578700000001,41403400
2015-01-02,111.389999,111.440002,107.349998,109.33000200000001,104.274353,53204600
2015-01-05,108.290001,108.650002,105.410004,106.25,101.336784,64285500
2015-01-06,106.540001,107.43,104.629997,106.260002,101.346321,65797100
2015-01-07,107.199997,108.199997,106.699997,107.75,102.767426,40105900
2015-01-08,109.230003,112.150002,108.699997,111.889999,106.715965,59364500
2015-01-09,112.66999799999999,113.25,110.209999,112.010002,106.83042900000001,53699500
2015-01-12,112.599998,112.629997,108.800003,109.25,104.198059,49650800
2015-01-13,111.43,112.800003,108.910004,110.220001,105.123199,67091900
2015-01-14,109.040001,110.489998,108.5,109.800003,104.722626,48337000
2015-01-15,110.0,110.059998,106.660004,106.82,101.88041700000001,60014000
2015-01-16,107.029999,107.58000200000001,105.199997,105.989998,101.088806,78513300
2015-01-20,107.839996,108.970001,106.5,108.720001,103.692566,49899900
2015-01-21,108.949997,111.059998,108.269997,109.550003,104.484184,48575900
2015-01-22,110.260002,112.470001,109.720001,112.400002,107.20239299999999,53796400
2015-01-23,112.300003,113.75,111.529999,112.980003,107.75558500000001,46464800
2015-01-26,113.739998,114.360001,112.800003,113.099998,107.87001799999999,55615000
2015-01-27,112.41999799999999,112.480003,109.029999,109.139999,104.09314,95568700
2015-01-28,117.629997,118.120003,115.309998,115.309998,109.977829,146477100
2015-01-29,116.32,119.190002,115.559998,118.900002,113.401825,84436400
2015-01-30,118.400002,120.0,116.849998,117.160004,111.74227900000001,83745500
